season,category,rank,player,slug,headshot_id,INT,INT TD,INT Yds,Lng
2025,interceptions,110,Leo Chenal,leo-chenal,vjl1lsaotcqcxkhm2std,1,0,0,0
2025,interceptions,111,Jack Cochrane,jack-cochrane,oayygmhoisjcedhuqm23,1,0,0,0
2025,interceptions,112,Chamarri Conner,chamarri-conner,fzzbwoogfbowestdz7gz,1,0,1,1
2025,interceptions,113,Maxx Crosby,maxx-crosby-x6606,r9gqe3lrjstj55ydljhk,1,0,19,19
2025,interceptions,114,Nick Cross,nick-cross,kk6rwopeqnomepo0lc9f,1,0,0,0
2025,interceptions,115,Michael Danna,michael-danna,brbpgu0xj2w0egcy5pid,1,0,10,10
2025,interceptions,116,Lavonte David,lavonte-david,gicyoxodiwdzvybrzddk,1,0,3,3
2025,interceptions,117,Ashtyn Davis,ashtyn-davis,e0ppdz8rxegnsmgkj31q,1,0,21,21
2025,interceptions,118,Jalen Davis,jalen-davis,lspbj6tc3afry1certf6,1,0,0,0
2025,interceptions,119,Akeem Davis-Gaither,akeem-davis-gaither,cxiu4fzpikl8lhpvooza,1,0,0,0
2025,interceptions,120,Grant Delpit,grant-delpit,p1pfbn04h6myuuvvgvgr,1,0,25,25
2025,interceptions,121,SirVocea Dennis,sirvocea-dennis,jcqpqpizmzp5fotauj38,1,0,0,0
2025,interceptions,122,Tyrel Dodson,tyrel-dodson,ssfyc6yarlegh112xeoa,1,0,0,0
2025,interceptions,123,T.J. Edwards,t-j-edwards,tqu3uz4nzkcq4crcepj3,1,1,34,34
2025,interceptions,124,DeShon Elliott,deshon-elliott,hf9qrjvja3ej77feihts,1,0,-4,-4
2025,interceptions,125,Kaden Elliss,kaden-elliss,lndj0awmhdulawkcjgua,1,0,16,16
2025,interceptions,126,Nick Emmanwori,nick-emmanwori,pmy1sehsvo596a7si0i0,1,0,0,0
2025,interceptions,127,Minkah Fitzpatrick,minkah-fitzpatrick,z733r4dwebhrqeeihy0e,1,0,7,7
2025,interceptions,128,Cordale Flott,cordale-flott,dk8b5dpa5fflut1j4ynl,1,0,68,68
2025,interceptions,129,Ashton Gillotte,ashton-gillotte,bk23ynvyi8g8ppbwb764,1,0,14,14
2025,interceptions,130,Carl Granderson,carl-granderson,bhudfgndbvogastdhvb7,1,0,0,0
2025,interceptions,131,Dre Greenlaw,dre-greenlaw-x9042,jtvcc2vtczop90dkl4wd,1,0,27,27
2025,interceptions,132,Da'Shawn Hand,da-shawn-hand,c2synfyorkd9gnrvv43v,1,0,7,7
2025,interceptions,133,Thomas Harper,thomas-harper,gndkodhyidctgvcqy1bk,1,0,0,0
2025,interceptions,134,Cam Hart,cam-hart,khd8lmp7idmluahgvk3u,1,0,27,27
2025,interceptions,135,C.J. Henderson,c-j-henderson,mlbq9cpapxfoabj7fsvt,1,0,0,0
2025,interceptions,136,Nick Herbig,nick-herbig,ox9fpvzppbe9uyqvnp2q,1,0,41,41
2025,interceptions,137,Daxton Hill,dax-hill,onw9ijbhtrdvjqpi0toh,1,0,0,0
2025,interceptions,138,Jevon Holland,jevon-holland,z5pg2azijnijyvqexm4r,1,0,3,3
2025,interceptions,139,Mike Hughes,mike-hughes,tncrybucqelrcrsgumds,1,0,6,6
2025,interceptions,140,Aidan Hutchinson,aidan-hutchinson,gmeczjok2lmjftb6mfof,1,0,58,58
2025,interceptions,141,Alijah Huzzie,alijah-huzzie,cspeq4wwmy82tmumrh6n,1,0,0,0
2025,interceptions,142,Adoree' Jackson,adoree-jackson,jtskiyzkosuajjatls72,1,0,1,1
2025,interceptions,143,D'Marco Jackson,d-marco-jackson,bwbialh78nao9svr8jqn,1,0,0,0
2025,interceptions,144,Rayshawn Jenkins,rayshawn-jenkins,e3tppqrhd6bpipfn2k4z,1,0,9,9
2025,interceptions,145,Josh Jobe,joshua-jobe,df0ybhz5czunkbhgdefc,1,0,0,0
2025,interceptions,146,Jaylon Johnson,jaylon-johnson,ooazlgwwseozyduthxn6,1,0,0,0
2025,interceptions,147,Brandon Jones,brandon-jones-3,vsc57i9kmaaquegceqtt,1,0,0,0
2025,interceptions,148,DaQuan Jones,daquan-jones,w7qkicdj6v0figbmfp0u,1,0,1,1
2025,interceptions,149,Jack Jones,jack-jones-2,ah12ltwvgwl9few2ktqj,1,0,7,7
2025,interceptions,150,Quentin Lake,quentin-lake,qktbfevtbxiyrw9ekk72,1,0,0,0
2025,interceptions,151,Chris Lammons,chris-lammons,odsa5adl0tyjcer1hnzz,1,0,0,0
2025,interceptions,152,Nate Landman,nate-landman,w44rpubxjijvxv0pkfnh,1,0,0,0
2025,interceptions,153,Marshon Lattimore,marshon-lattimore,z4npwlwl5teozc1lp8ky,1,0,0,0
2025,interceptions,154,Dexter Lawrence,dexter-lawrence,nhk41gu7prupza1wda8v,1,0,37,37
2025,interceptions,155,Julian Love,julian-love,l2tncxut7ssqo0ilamxq,1,0,26,26
2025,interceptions,156,Avonte Maddox,avonte-maddox,j2guzeu1ggx5opajjl3h,1,0,0,0
2025,interceptions,157,DeAngelo Malone,deangelo-malone,uyjqwnbcams2hk2rmyh2,1,0,6,6
2025,interceptions,158,Marte Mapu,marte-mapu,iulfjo62qs1q2uec0rxu,1,0,20,20
2025,interceptions,159,Jason Marshall Jr.,jason-marshall-jr,chf1ow0awwha9hrcoqxc,1,0,24,24
2025,interceptions,160,Arthur Maulet,arthur-maulet,aubd7y8fpt8tdx3tci9t,1,0,0,0
2025,interceptions,161,Zyon McCollum,zyon-mccollum,tx9thnuxhb2uqzbl0dgb,1,0,19,19
