season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
2025,kickoff-returns,130,Brittain Brown,brittain-brown,xo28viloq6rjkgca3gpz,23,1,23,0,1,0,23,0,0
2025,kickoff-returns,131,Dameon Pierce,dameon-pierce,oai3defivyfyofxxh4ux,23,4,92,0,4,0,26,0,0
2025,kickoff-returns,132,Tre Tucker,tre-tucker,hazzk3hrcequzosdgzgv,23,1,23,0,1,0,23,0,0
2025,kickoff-returns,133,Sean Tucker,sean-tucker,wiarwjvy8p6bojlratp4,23,26,597,0,18,0,35,0,1
2025,kickoff-returns,134,Velus Jones Jr.,velus-jones,d4y5fxivhcxk34q7stpb,22.9,8,183,0,6,0,30,0,0
2025,kickoff-returns,135,Ray-Ray McCloud,ray-ray-mccloud,nvwn3sdihyyd2itjt7vy,22.8,4,91,0,2,0,30,0,0
2025,kickoff-returns,136,Miles Sanders,miles-sanders,niyjjkzmxjmesftgjs8y,22.7,3,68,0,3,0,24,0,0
2025,kickoff-returns,137,Jerome Ford,jerome-ford,rntmoum7ncnyo5j2bdei,22.6,13,294,0,9,0,32,0,0
2025,kickoff-returns,138,Nate Hobbs,nate-hobbs,qewuemdrhzwzc9hluywm,22.5,2,45,0,2,0,23,0,0
2025,kickoff-returns,139,Kimani Vidal,kimani-vidal,tqdctdun0bv60d5ziwtl,22.1,8,177,0,6,0,31,0,0
2025,kickoff-returns,140,RJ Harvey,rj-harvey,szxmro5enrxlscvv67xg,22.1,16,353,0,13,0,29,0,0
2025,kickoff-returns,141,Treylon Burks,treylon-burks,bmozbzdxgnnwdniuvgnn,22,1,22,0,1,0,22,0,0
2025,kickoff-returns,142,Chase Edmonds,chase-edmonds,nbnqxhjafvg2vg6lc2ls,22,11,242,0,7,0,29,0,0
2025,kickoff-returns,143,Khalil Herbert,khalil-herbert,gjwksf9ygntjmtceeerh,22,1,22,0,1,0,22,0,0
